banda,data,local,link_ingresso,logo_url
Garage Fuzz,2026-09-02,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/garagefuzz-manifesto,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196765/scraper/production/21836.jpg"
Banda Live 80,2026-09-03,Manifesto - São Paulo,https://www.clubedoingresso.com/evento/bandalive80-manifesto-03-09,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786593660/scraper/production/21968.jpg"
Covers: Ozzy - Motorhead - ACDC,2026-09-04,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/ozzymotorheadacdcmanifesto,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786593659/scraper/production/21967.jpg"
Bloco Emo Brasil,2026-09-05,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/blocoemobrasil,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786420858/scraper/production/21936.jpg"
Cover: Bon Jovi - These Days,2026-09-05,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/cover-bonjovi-thesedays,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786680059/scraper/production/22003.jpg"
System of a Down (Fuck The System) + Avenged Sevenfold (Fiction),2026-09-05,Rooftop Galeria do Rock - São Paulo,https://www.clubedoingresso.com/evento/systemofadown-avengedsevenfold,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786766463/scraper/production/22033.jpg"
Covers: Guns N Roses e Kiss,2026-09-06,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/coversgunsnrosesekiss,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786680058/scraper/production/22002.jpg"
Nova Twins em São Paulo,2026-09-06,Cine Joia - São Paulo,https://fastix.com.br/api/events/nova-twins-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196881/scraper/production/21889.jpg"
Machine Gun Kelly (MGK),2026-09-06,Espaço Unimed - São Paulo,a confirmar,a confirmar
Rammstein Symphonic Tribute,2026-09-07,Teatro APCD - São Paulo,https://www.clubedoingresso.com/evento/rammsteinsymphonictribute-sp,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1780286544/scraper/production/21488.jpg"
Nervosa em São Paulo,2026-09-07,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/nervosa-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196777/scraper/production/21841.jpg"
Paul Gilbert em São Paulo,2026-09-08,Fabrique Club - São Paulo,https://www.clubedoingresso.com/evento/paulgilbert-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1780977769/scraper/production/21680.jpg"
Bloodbath / The Haunted / NervoChaos / Warshipper,2026-09-08,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/bloodbath-thehaunted-nervochaos-warshipper-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1777608164/scraper/production/20781.jpg"
Sexta Rock Especial,2026-09-11,Cervejazul Music Club - São Paulo,https://www.clubedoingresso.com/evento/sextarockespecial-cervejazul,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1787025644/scraper/production/22068.jpg"
Pegada de Gorila - Monarca Bar,2026-09-11,Monarca Bar - São Paulo,https://www.clubedoingresso.com/evento/pegadadegorila-monarca-bar,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196785/scraper/production/21843.jpg"
Os Extintos no Bar Charles,2026-09-11,Bar Charles Edward - São Paulo,https://www.clubedoingresso.com/evento/os-extintos-11-09,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196782/scraper/production/21842.jpg"
RANCORE,2026-09-11,Hangar 110 - São Paulo,https://pixelticket.com.br/eventos/32684/rancore,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196897/scraper/production/21901.jpg"
LINKIN PARK (Zero) + KORN (Klowns),2026-09-12,Rooftop Galeria do Rock - São Paulo,https://www.clubedoingresso.com/evento/linkinpark-korn,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786766463/scraper/production/22032.jpg"
Touché Amoré Stage Four,2026-09-12,Cine Joia - São Paulo,https://fastix.com.br/api/events/touche-amore-stage-four-2026-show-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1768190581/scraper/production/17402.jpg"
Touché Amoré (Stage Four show) + Celeste,2026-09-12,Cine Joia - São Paulo,https://fastix.com.br/api/events/touche-amore-stage-four-show-celeste-franca-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196881/scraper/production/21890.jpg"
RANCORE,2026-09-12,Hangar 110 - São Paulo,https://pixelticket.com.br/eventos/32684/rancore,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196898/scraper/production/21902.jpg"
